floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
4,10,1,32.9,9000000,Гольяново,Уральская ,6К1,Щёлковская,315916888
2,33,1,50.0,22000000,Хорошево-Мневники,Причальный проезд,10к2,Шелепиха,316289540
2,18,1,41.0,22600000,Беговой,Ленинградский проспект,29к3,Динамо,314702076
7,17,1,42.0,8700000,Южное Бутово, Маршала Савицкого,24,Щербинка,316216130
5,18,1,45.0,22550000,Филевский парк,Береговой проезд,5к2,Фили,306033012
2,14,1,39.0,9450000,Братеево, Борисовские Пруды,16К2,Борисово,316695062
3,49,1,42.6,25000000,Хорошево-Мневники, Генерала Глаголева,14Ак1,Бульвар Генерала Карбышева,311671252
3,15,1,38.0,30400000,Аэропорт,Ленинградский проспект,36с39,Динамо,313038613
1,12,1,38.3,10400000,Измайлово,Никитинская ,9,Измайловская,314200771
19,41,1,43.0,32500000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,314469865
9,9,1,33.0,11200000,Нагатинский затон,Кленовый бульвар,6,Коломенская,316035990
16,17,1,27.0,12300000,Левобережный,Смольная ,44к1,Беломорская,303776402
1,9,1,37.2,19999999,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,Аминьевская,315500861
54,63,1,81.0,59000000,Пресненский,набережная Пресненская,12,Деловой центр,313282454
24,41,1,42.84,21500000,Пресненский,Шмитовский проезд,39,Москва-Сити,315858719
7,22,1,41.0,29900000,Покровское-Стрешнево,бульвар Чкаловский,6к1,Спартак,311038284
14,41,1,48.0,29900000,Раменки,1-й Сетуньский проезд,8,Кутузовская,308207546
12,12,1,38.79,11700000,Чертаново Южное,3-й Дорожный проезд,4К1,Улица Академика Янгеля,315814638
16,24,1,30.3,16000000,Метрогородок,Тагильская ,2к1,Бульвар Рокоссовского,316592686
6,40,1,43.0,20900000,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,313024452
22,42,1,47.7,31000000,Котловка,Севастопольский проспект,22А,Крымская,314537751
3,9,1,30.0,9800000,Богородское,Малая Черкизовская ,64,Преображенская площадь,314211607
5,5,1,30.0,8900000,Измайлово,Сиреневый бульвар,14К2,Первомайская,316370137
5,9,1,32.5,9900000,Бибирево, Лескова,10А,Алтуфьево,316062590
12,12,1,35.0,9950000,Дмитровский,Ангарская ,59,Яхромская,306658741
9,9,1,33.0,10199000,Северное Тушино, Героев Панфиловцев,23к1,Планерная,310792544
3,9,1,36.0,10300000,Гольяново,Щелковское шоссе,79К1,Щёлковская,316664953
12,12,1,35.0,10300000,Чертаново Южное, Газопровод,3К1,Улица Академика Янгеля,313757139
1,9,1,31.6,10350000,Кузьминки,Окская ,24/1К2,Кузьминки,315960305
8,9,1,34.8,9300000,Новогиреево,Полимерная ,5,Кусково,315139283
6,16,1,38.7,10500000,Ярославский,Ярославское шоссе,116К1,Свиблово,311663562
3,9,1,32.7,10500000,Чертаново Южное, Подольских Курсантов,18К1,Пражская,316125122
6,18,1,36.5,9499999,Люблино, Маршала Баграмяна,2,Люблино,314929759
2,18,1,33.1,10900000,Солнцево,Производственная ,17,Новопеределкино,315058475
2,16,1,37.6,11300000,Строгино, Кулакова,27,Строгино,316599315
8,17,1,39.6,11500000,Некрасовка,Покровская ,17к3,Некрасовка,316604052
1,8,1,32.0,11550000,Даниловский,Дербеневская набережная,13/17К2,Пролетарская,316453198
5,8,2,111.6,109479600,Таганский,Славянская площадь,2/5с1,Китай-город,315053628
5,5,2,60.0,13000000,Лосиноостровский,Анадырский проезд,21,Бабушкинская,314283147
5,8,2,47.0,38000000,Пресненский,Большой Кондратьевский переулок,4С1,Белорусская,315514720
9,14,2,99.71,210000000,Хамовники, Усачева,15А,Спортивная,316130769
28,29,2,53.4,49000000,Якиманка,Мытная ,40к1,Серпуховская,310774802
33,41,2,72.8,68000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,316634002
7,12,2,52.1,11300000,Бирюлево Восточное,Липецкая ,13,Лебедянская,315938438
24,41,2,72.0,68500000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,314214696
6,9,2,44.4,11000000,Ховрино,Клинская ,9,Грачёвская,315761244
7,58,2,109.0,42000000,Ростокино,проспект Мира,188Бк3,Ростокино,314780092
4,7,2,66.1,77966246,Арбат,Поварская ,8/1к1,Арбатская,314434357
51,75,2,120.4,85000000,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,289733275
4,7,2,88.4,104459067,Арбат,Поварская ,8/1к1,Арбатская,314434354
4,6,2,78.9,91642952,Арбат,Поварская ,8/1к1,Арбатская,314434351
30,85,2,95.5,79500000,Пресненский,1-й Красногвардейский проезд,21с2,Москва-Сити,314442967
15,32,2,63.0,76000000,Дорогомилово,Поклонная ,9,Поклонная,315365256
4,9,2,44.9,14340000,Коньково, Генерала Антонова,5К1,Беляево,314290681
8,17,2,63.7,33500000,Войковский,Старопетровский проезд,8,Войковская,316665665
5,17,2,58.0,11300000,Некрасовка, Маршала Еременко,3к1,Некрасовка,314642787
8,14,2,53.0,16950000,Ново-Переделкино, Шолохова,28,Новопеределкино,315315554
10,12,2,57.0,31800000,Басманный,Бакунинская ,5,Бауманская,316123376
35,37,2,59.7,28000000,Раменки,Мосфильмовская ,98к2,Аминьевская,316654253
6,14,2,45.2,32500000,Раменки,проспект Генерала Дорохова,39к1А,Поклонная,315035656
15,23,2,100.8,40000000,Раменки, Пырьева,9к2,Поклонная,308335219
36,53,2,80.0,100000000,Пресненский,Шмитовский проезд,39к8,Москва-Сити,312664615
1,5,2,43.0,10950000,Измайлово,Измайловский проезд,6К2,Измайловская,314588171
3,12,2,75.2,48700000,Проспект Вернадского, Удальцова,26,Проспект Вернадского,314133589
30,61,2,66.9,91000000,Пресненский,Краснопресненская набережная,14Ак2,Москва-Сити,316338561
4,9,2,43.5,15790000,Восточное Дегунино,Дубнинская ,10К2,Дегунино,316221294
22,78,2,169.5,136790000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,315742208
24,79,2,61.2,58000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,312751624
8,17,2,51.2,15000000,Северное Бутово,бульвар Дмитрия Донского,8,Бульвар Дмитрия Донского,316361853
8,16,2,53.5,16590000,Хорошево-Мневники, Народного Ополчения,28К1,Народное Ополчение,314385616
13,16,2,55.0,19000000,Лефортово,Волочаевская ,20К1,Серп и Молот,316323258
3,9,2,47.6,13500000,Царицыно, Бехтерева,41К3,Царицыно,316453422
4,7,2,67.0,23800000,Даниловский, Трофимова,1/17,Автозаводская,315591870
18,28,2,53.0,27500000,Измайлово,Первомайская ,42к3,Измайловская,312604097
12,21,3,164.43,178500000,Пресненский, Костикова,4к1,Улица 1905 года,315050156
9,22,3,78.0,34900000,Хорошево-Мневники,бульвар Генерала Карбышева,18,Народное Ополчение,316661265
12,12,3,64.4,27000000,Раменки, Довженко,12К2,Минская,315145942
5,8,3,93.0,111500000,Якиманка,Лаврушинский переулок,17С2,Третьяковская,316618616
8,9,3,51.0,14000000,Чертаново Центральное,Днепропетровская ,27к1,Пражская,316514468
27,41,3,79.0,74000000,Раменки,Парклэйн тер.,к2,Кутузовская,311733777
6,8,3,94.2,38234000,Савеловский, Верхняя Масловка,20,Петровский Парк,314843348
25,38,3,144.0,65000000,Раменки,Мосфильмовская ,70к1,Ломоносовский проспект,311611882
8,53,3,150.0,135000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,247174958
7,12,3,70.2,20990000,Северное Тушино, Героев Панфиловцев,3,Сходненская,316330536
15,16,3,124.7,205000000,Раменки,Воробьевское шоссе,4,Поклонная,314592214
6,16,3,124.7,199000000,Раменки,Воробьевское шоссе,4,Поклонная,316584977
9,9,3,50.0,11400000,Чертаново Центральное, Красного Маяка,11К1,Пражская,315256990
4,4,3,178.3,99000000,Пресненский,Большой Козихинский переулок,10,Пушкинская,308639465
3,7,3,93.0,95000000,Замоскворечье,Шлюзовая набережная,2А,Павелецкая,316675664
1,9,3,80.6,16199999,Митино,Митинская ,15,Митино,315254852
2,12,3,59.0,13500000,Чертаново Южное,Россошанская ,13К1,Улица Академика Янгеля,315718698
2,19,3,186.0,220000000,Раменки,Ломоносовский проспект,25к5,Университет,245277094
15,17,3,75.9,25500000,Тропарево-Никулино, Академика Анохина,9К1,Юго-Западная,316311847
7,10,3,73.9,24990000,Бескудниковский,Бескудниковский бульвар,50/1,Яхромская,316407915
5,9,3,57.0,20000000,Восточное Измайлово,9-я Парковая ,6К1,Первомайская,315732417
5,6,3,80.0,73000000,Пресненский,Мерзляковский переулок,5/1,Арбатская,301573903
9,12,3,62.0,20000000,Строгино, Твардовского,31К2,Строгино,313503982
16,24,3,50.0,17500000,Ховрино,Клинская ,2Ак7,Грачёвская,315910063
3,11,3,90.0,48500000,Хамовники, Хамовнический Вал,2,Лужники,312981803
9,9,3,50.0,14800000,Северное Измайлово,Щелковское шоссе,12К1,Черкизовская,315315088
2,4,3,140.0,172370049,Мещанский,Рождественский бульвар,10/7С1,Трубная,298534721
3,8,3,130.7,235250000,Хамовники,Зубовская ,7,Парк Культуры,314425483
1,14,3,65.1,19900000,Хорошево-Мневники, Берзарина,5,Октябрьское поле,314429791
3,9,3,57.0,14500000,Богородское,Бойцовая ,21к2,Бульвар Рокоссовского,315882617
3,14,3,105.2,192850000,Хамовники, Усачева,15А,Спортивная,314248256
14,15,3,133.91,227647000,Хамовники, Усачева,15,Спортивная,309194945
12,14,3,92.2,77000000,Раменки,проспект Генерала Дорохова,39к1А,Поклонная,304329807
26,36,3,120.0,109900000,Раменки,Минская ,2,Минская,309750410
5,31,3,86.4,41000000,Хорошево-Мневники,Карамышевская набережная,2А,Народное Ополчение,315038053
5,7,3,95.5,55000000,Басманный,Малый Казенный переулок,16,Курская,316064711
9,12,3,106.6,76000000,Замоскворечье,Мытная ,7с1,Серпуховская,310431008
7,12,3,74.0,19700000,Южное Тушино,бульвар Яна Райниса,1,Сходненская,313478474
26,39,3,121.0,109900000,Раменки,Минская ,2,Минская,315274449
14,14,3,74.6,23000000,Можайский, Кутузова,3,Рабочий посёлок,312509370
6,12,3,150.0,115000000,Замоскворечье,Климентовский переулок,2,Новокузнецкая,313016553
9,18,3,121.5,54000000,Хорошевский, Викторенко,4К1,Аэропорт,316680516
44,56,3,94.0,42000000,Ростокино,проспект Мира,188Бк1,Ростокино,309241509
5,5,3,74.0,18500000,Покровское-Стрешнево, Свободы,14,Тушинская,314834804
3,10,3,83.6,18000000,Южное Бутово,Южнобутовская ,9,Бульвар Адмирала Ушакова,314566101
5,6,3,80.0,70000000,Пресненский,Мерзляковский переулок,5/1,Арбатская,301963145
3,28,3,68.0,57500000,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,315975662
3,28,3,68.0,57500000,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,313467087
23,24,3,82.3,22700000,Ясенево,проезд Одоевского,11К7,Ясенево,316716307
2,17,3,73.8,22300000,Крылатское,Осенний бульвар,20К1,Крылатское,310554429
22,41,3,74.2,45500000,Раменки,1-й Сетуньский проезд,8,Кутузовская,316585431
5,9,3,58.9,21300000,Коньково, Островитянова,31,Коньково,316194434
24,24,1,21.0,15590000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,308100205
3,19,1,40.0,14990000,Коньково, Введенского,13в,Беляево,314294536
28,33,1,42.0,20500000,Очаково-Матвеевское,Очаковское шоссе,5к4,Аминьевская,315648205
16,25,1,41.3,20500000,Щукино, Берзарина,28Ак3,Октябрьское поле,316165142
8,9,1,31.0,12900000,Ломоносовский, Гарибальди,13К1,Новые Черёмушки,316188638
14,28,1,38.0,20800000,Можайский,переулок 2-й Петра Алексеева,5,Рабочий посёлок,315353756
9,34,1,47.0,20990000,Головинский,Кронштадтский бульвар,9к6,Водный стадион,316108460
14,34,1,46.3,21000000,Головинский,Кронштадтский бульвар,9к6,Водный стадион,316058177
2,6,1,40.4,22700000,Даниловский,проспект Лихачева,22,Технопарк,316218811
18,26,1,33.8,23300000,Нагатино-Садовники,Нагатинская набережная,10А,Нагатинская,311963553
6,20,1,35.2,23800000,Даниловский,проспект Лихачева,12к2,Технопарк,316106135
15,48,1,47.0,26300000,Ростокино, Сергея Эйзенштейна,8С9,Ботанический сад,314580697
15,29,1,47.0,31600000,Даниловский, Виктора Маслова,2,Автозаводская,315952255
2,12,1,34.8,14500000,Тимирязевский,Тимирязевская ,11,Дмитровская,316431832
1,9,1,33.1,8300000,Можайский,Беловежская ,95,Сетунь,316559309
5,5,1,52.8,16500000,Кунцево, Екатерины Будановой,12,Кунцевская,314951462
2,6,1,30.0,7100000,Марьино, Перерва,16,Перерва,313373725
5,9,1,36.0,15200000,Аэропорт, Усиевича,25К1,Сокол,316717155
15,17,1,38.0,11799999,Братеево, Борисовские Пруды,12К1,Борисово,314791156
5,8,1,31.8,11900000,Соколиная гора,Большая Семеновская ,21,Электрозаводская,315141809
5,20,1,41.0,11350000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,315053180
3,9,1,35.5,8990000,Южное Бутово,Южнобутовская ,84,Бунинская аллея,316243521
3,43,1,40.4,18990000,Хорошево-Мневники,Шелепихинская набережная,40к1,Шелепиха,316708732
1,5,1,29.9,9500000,Аэропорт,2-й Амбулаторный проезд,17,Красный Балтиец,316475494
5,9,1,34.9,10500000,Богородское,Миллионная ,13К1,Белокаменная,313084247
5,9,1,37.4,9300000,Лианозово,Абрамцевская ,3А,Алтуфьево,315247474
10,33,1,32.0,12150000,Метрогородок,Тагильская ,3к2,Черкизовская,316469642
5,9,1,31.3,10300000,Перово,2-я Владимирская ,40,Перово,315104756
24,25,1,39.9,15400000,Орехово-Борисово Южное, Генерала Белова,28к1,Домодедовская,315746214
6,16,1,34.5,11400000,Котловка,Большая Черемушкинская ,9К3,Крымская,316318288
17,29,1,36.3,17400000,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского,310072129
5,15,1,36.3,10500000,Молжаниновский,Ленинградское шоссе,228к4,Молжаниново,314529859
10,19,1,47.0,13000000,Крюково,проспект Георгиевский,33к6,Зеленоград — Крюково,306926249
1,5,1,30.5,10990000,Измайлово,11-я Парковая ,39К1,Первомайская,315879326
2,5,1,34.3,17500000,Пресненский, Юлиуса Фучика,2/30,Маяковская,314999055
13,22,1,38.8,10300000,Марьино,Белореченская ,22/66,Люблино,315551044
4,9,1,32.4,10999000,Чертаново Южное,Дорожная ,23К2,Красный Строитель,316391549
4,9,1,32.7,15500000,Ховрино, Лавочкина,56/23,Беломорская,315522354
6,23,1,37.0,29300000,Хорошевский,Хорошевское шоссе,25Ак2,Полежаевская,316286123
16,17,1,37.9,9999000,Северный,Челобитьевское шоссе,12к4,Физтех,315904328
1,14,1,25.0,8490000,Марфино,Большая Марфинская ,4к6,Фонвизинская,316624728
8,9,1,32.5,13290000,Бескудниковский,Бескудниковский бульвар,28К2,Селигерская,316042120
12,48,1,36.0,15500000,Бутырский,Новодмитровская ,2к6,Дмитровская,314779957
3,15,1,42.0,18000000,Можайский,Сколковское шоссе,40к3,Сетунь,316610836
19,19,1,39.0,22000000,Покровское-Стрешнево,Волоколамское шоссе,71к2,Спартак,315796422
2,41,1,43.0,21100000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,315861614
15,29,1,40.9,24250000,Хорошево-Мневники,Шелепихинская набережная,40к3,Шелепиха,316499611
14,66,2,67.3,97585000,Пресненский,Краснопресненская набережная,14Ак2,Москва-Сити,316391390
6,7,2,92.7,42500000,Алексеевский,проспект Мира,102к2,Алексеевская,314832827
1,3,2,85.2,115000000,Хорошево-Мневники,Таманская ,1,Народное Ополчение,311097615
17,34,2,102.9,109000000,Дорогомилово,Поклонная ,9,Поклонная,315258508
5,7,2,53.0,81090000,Якиманка, Большая Полянка,44/2,Полянка,316572259
24,40,2,73.0,68380000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,316029644
18,27,2,51.0,28499000,Алексеевский,Староалексеевская ,5А,Алексеевская,312962883
14,15,2,59.2,38500000,Нагатинский затон, Корабельная,15,Нагатинский Затон,312761872
1,9,2,43.0,15999000,Фили-Давыдково, Ивана Франко,6,Кунцевская,314579719
4,8,2,69.8,52760249,Хамовники,Смоленский бульвар,22/14,Смоленская,302999320
5,13,2,62.4,34000000,Филевский парк, Василисы Кожиной,13,Парк Победы,315832202
3,5,2,44.3,49400000,Замоскворечье,Озерковская набережная,6,Новокузнецкая,307970936
6,11,2,55.1,32500000,Басманный, Казакова,7,Курская,315253228
6,12,2,46.0,14500000,Строгино,Неманский проезд,5К1,Мякинино,314153626
3,9,2,61.4,60000000,Басманный,Потаповский переулок,10,Чистые пруды,297766719
7,22,2,100.0,54000000,Пресненский,Шмитовский проезд,16С1,Улица 1905 года,316201105
8,14,2,76.0,59900000,Даниловский, Архитектора Щусева,2к1,ЗИЛ,315928096
5,33,2,57.0,29700000,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,315973530
23,23,2,100.0,55000000,Можайский,Можайское шоссе,6К1,Кунцевская,311381466
9,13,2,73.8,42800000,Раменки,Винницкая ,8к1,Раменки,312895070
5,9,2,74.0,69500000,Мещанский,Малая Сухаревская площадь,1С1,Сухаревская,311035485
26,43,2,63.0,34700000,Хорошево-Мневники,Шелепихинская набережная,40к1,Шелепиха,305509795
3,11,2,78.0,35500000,Лефортово, Крузенштерна,6,Серп и Молот,309550008
5,6,2,98.7,75000000,Замоскворечье,Большая Пионерская ,20,Павелецкая,313629767
46,73,2,123.0,150000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,307397567
19,21,2,79.4,68400000,Басманный,площадь Курского Вокзала,1,Чкаловская,316201215
11,12,2,78.58,63988000,Тверской,2-я Брестская ,6,Маяковская,314215206
24,37,2,73.0,68380000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,312860804
4,20,2,77.0,92400000,Пресненский,Дружинниковская ,15,Краснопресненская,314896853
5,6,2,48.57,66960000,Хамовники,Зубовская ,7,Парк Культуры,315165918
3,9,2,148.5,210000000,Тверской,1-я Тверская-Ямская ,2,Маяковская,307826522
35,78,2,83.0,83000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,314731067
14,41,2,56.0,35000000,Раменки,1-й Сетуньский проезд,8,Кутузовская,316179906
7,41,2,55.0,35000000,Раменки,1-й Сетуньский проезд,8,Кутузовская,315052730
9,9,2,45.0,18490000,Хорошево-Мневники, Народного Ополчения,24,Народное Ополчение,316537041
9,9,2,39.0,14750000,Зюзино,Перекопская ,10К1,Зюзино,316413600
12,25,2,74.0,33950000,Раменки, Янковского,1к1,Аминьевская,310306708
6,12,2,59.3,34000000,Лефортово,проезд Шелихова,3,Площадь Ильича,316256052
6,6,2,100.0,75000000,Замоскворечье,Большая Пионерская ,20,Павелецкая,312575065
2,8,2,61.5,54200000,Таганский,Серебрянический переулок,8,Китай-город,314304114
10,21,2,82.0,45000000,Останкинский, Академика Королева,10,Улица Академика Королёва,314383482
9,68,2,92.0,105000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,306652887
1,9,2,46.0,11890000,Ивановское,Челябинская ,21,Первомайская,314362092
7,26,2,72.6,27500000,Лефортово, Крузенштерна,12к2,Авиамоторная,309640290
16,41,3,91.0,108000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,314889861
5,24,3,75.0,57000000,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,315871934
26,34,3,140.1,100000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,316656430
3,12,3,82.5,83000000,Раменки, Сергея Бондарчука,4,Мичуринский проспект,312360519
6,16,3,124.7,199500000,Раменки,Воробьевское шоссе,4,Поклонная,316086491
21,32,3,136.1,110000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,315456914
1,5,3,64.0,26900000,Хамовники,переулок 1-й Тружеников,19/4С3,Киевская,313507215
9,9,3,70.0,40000000,Фили-Давыдково, Ивана Франко,6,Кунцевская,314795707
20,20,3,69.0,51000000,Раменки, Василия Ланового,3,Аминьевская,311370408
7,17,3,108.8,54000000,Раменки,Мичуринский проспект,11К4,Раменки,312794034
8,14,3,68.9,53500000,Раменки,проспект Генерала Дорохова,39к2М,Минская,305280843
13,30,3,130.0,74000000,Проспект Вернадского,проспект Вернадского,37к1А,Проспект Вернадского,310797729
66,79,3,113.0,120000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,316487121
37,41,3,82.3,82500000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,305070032
28,41,3,88.6,77000000,Хорошевский,Ленинградский проспект,37/7,Аэропорт,314287577
12,14,3,130.0,150000000,Хамовники,Оболенский переулок,9К8,Фрунзенская,315342929
10,16,3,159.4,157000000,Арбат,1-й Смоленский переулок,17,Смоленская,314433652
13,34,3,88.0,90000000,Дорогомилово,Поклонная ,9,Поклонная,313926205
6,16,3,124.7,199520000,Раменки,Воробьевское шоссе,4С1,Поклонная,315878023
12,12,3,148.7,208180000,Тверской,2-я Брестская ,6,Маяковская,309039247
6,9,3,114.0,51300000,Очаково-Матвеевское,Нежинская ,8К2,Матвеевская,306593196
5,6,3,106.4,105000000,Хамовники,Комсомольский проспект,9А,Парк Культуры,305726543
14,14,3,93.6,70200000,Даниловский, Архитектора Щусева,2к1,ЗИЛ,314194751
4,15,3,87.0,185000000,Хамовники,Олсуфьевский переулок,9к2,Фрунзенская,311970488
12,12,3,109.9,153860000,Тверской,2-я Брестская ,6,Маяковская,315159153
30,65,3,120.0,139990000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,315035572
5,7,3,160.0,183000000,Якиманка, Большая Полянка,44,Полянка,294031984
8,14,3,86.1,47000000,Даниловский, Архитектора Щусева,1,ЗИЛ,313677137
12,12,3,81.2,59900000,Сокол, Врубеля,4к1,Сокол,303902409
33,65,3,190.0,130634604,Пресненский,набережная Пресненская,8с1,Деловой центр,305062321
3,16,3,64.8,20200000,Отрадное,Северный бульвар,7,Отрадное,312089046
4,14,3,101.0,74000000,Даниловский, Архитектора Щусева,3,ЗИЛ,315335453
6,7,3,82.0,32000000,Даниловский,2-й Автозаводский проезд,5,Автозаводская,316201119
20,20,3,137.0,143000000,Пресненский,Мантулинская ,9к6,Москва-Сити,316033726
12,12,3,81.2,60700000,Сокол, Врубеля,4к1,Сокол,298466120
3,24,3,104.0,38399000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,309888239
28,39,3,71.0,46500000,Раменки, Лобачевского,120к1,Аминьевская,303447463
14,17,3,184.8,230000000,Арбат, Новый Арбат,29,Смоленская,315875559
21,36,3,86.5,48900000,Хорошево-Мневники,Шелепихинская набережная,34к1зд5,Шелепиха,312975296
30,42,3,153.6,74900000,Раменки,Мосфильмовская ,70к2,Ломоносовский проспект,314649798
35,41,3,98.0,95000000,Хорошевский,Ленинградский проспект,37/3,Аэропорт,316117452
2,9,3,119.4,112236000,Таганский,Серебрянический переулок,6,Китай-город,312284900
2,9,3,75.9,65000000,Пресненский,Малая Никитская ,16/5,Баррикадная,307433320
14,52,3,76.0,45000000,Раменки,Мичуринский проспект,56,Раменки,305321484
3,14,3,70.6,59000000,Замоскворечье,Мытная ,7с1,Серпуховская,314971588
17,17,3,78.0,34700000,Хорошевский, Полины Осипенко,22К3,Полежаевская,316684654
5,7,3,125.3,90000000,Очаково-Матвеевское,Староволынская ,15к3,Матвеевская,307500734
9,12,3,85.8,49980000,Тверской,2-я Брестская ,6,Маяковская,315806655
20,24,3,151.0,96750000,Очаково-Матвеевское,Староволынская ,12к5,Матвеевская,314216496
11,19,3,100.8,52990000,Алексеевский,Новоалексеевская ,16К5,Алексеевская,314271961
4,8,3,131.3,104990000,Якиманка,Погорельский переулок,5С2,Добрынинская,313873963
2,5,3,140.0,165936860,Мещанский,Рождественский бульвар,10/7С1,Трубная,300883472
14,37,3,100.9,110990000,Дорогомилово,Поклонная ,9,Поклонная,308343502
2,20,3,98.24,16100000,Бирюлево Восточное,6-я Радиальная ,7/1к1,Царицыно,316138167
16,26,3,78.9,38090000,Нагатино-Садовники,Нагатинская набережная,10А,Нагатинская,316201211
25,46,3,57.2,44000000,Даниловский,Дубининская ,59А,Павелецкая,315564866
7,9,3,60.6,55950000,Пресненский,Малая Никитская ,16/5,Баррикадная,316572517
7,24,3,180.0,74000000,Черемушки,Новочеремушкинская ,44К3,Профсоюзная,313204877
6,13,1,38.0,20100000,Западное Дегунино,Ильменский проезд,14к7,Селигерская,316324482
11,15,1,35.0,10290000,Молжаниновский,Ленинградское шоссе,229Ак1,Новоподрезково,315038271
7,22,1,38.65,20000000,Ховрино,Беломорская ,23,Беломорская,316217571
16,33,1,34.0,19500000,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,313624558
11,22,1,48.5,16490000,Щукино,Большой Волоколамский проезд,23,Стрешнево,315898629
16,23,1,34.7,17499000,Лефортово,Красноказарменная ,14Ак2,Авиамоторная,316377467
9,18,1,38.8,10300000,Бирюлево Восточное,6-я Радиальная ,7/6к3,Каспийская,305972603
5,8,1,59.1,24900000,Алексеевский,Рижский проезд,5,ВДНХ,311663561
2,10,1,35.8,10418300,Кунцево,4-я Мякининская ,27,Строгино,313005039
1,14,1,36.0,21000000,Басманный,Малая Почтовая ,5/12С1,Бауманская,316243994
3,10,1,35.8,10418300,Кунцево,4-я Мякининская ,27,Строгино,313005136
5,9,1,29.4,11550000,Филевский парк,Сеславинская ,32,Филёвский парк,314205722
2,5,1,31.0,10500000,Перово, Плющева,16,Перово,315285325
12,25,1,39.9,10608395,Некрасовка, Липчанского,10,Некрасовка,296104063
18,33,1,42.1,15300000,Метрогородок,Открытое шоссе,18Ак1,Бульвар Рокоссовского,316283784
7,9,1,32.9,9100000,Выхино-Жулебино,Ташкентская ,16К1,Юго-Восточная,301704043
10,24,1,44.1,21000000,Дмитровский,Дмитровское шоссе,107к3,Яхромская,316387538
3,16,1,42.0,11500000,Ярославский,Ярославское шоссе,34,ВДНХ,315455785
7,14,1,40.0,11750000,Люблино,Новороссийская ,24К1,Люблино,315758332
15,16,1,40.0,12900000,Строгино, Кулакова,10,Строгино,316028897
22,32,1,30.1,23990000,Пресненский,Шмитовский проезд,39к8,Москва-Сити,316707751
2,5,1,29.0,11600000,Сокол,Песчаный переулок,14К1,Панфиловская,313421940
2,8,1,29.9,12800000,Даниловский,Люсиновская ,72,Тульская,311208111
6,9,1,29.8,10000000,Можайский,Можайское шоссе,10,Кунцевская,315860445
14,21,1,37.6,16300000,Нагатинский затон,Коломенская ,12к2,Нагатинский Затон,315685417
9,22,1,38.4,9990000,Братеево, Борисовские Пруды,48К1,Алма-Атинская,312929406
5,5,1,52.4,15800000,Кунцево, Екатерины Будановой,6,Рабочий посёлок,315935989
16,20,1,37.9,11499999,Чертаново Южное, Газопровод,15,Красный Строитель,315677385
3,19,1,50.0,18600000,Фили-Давыдково,Кастанаевская ,41К2,Пионерская,315448333
1,9,1,33.0,9600000,Щукино, Расплетина,3К2,Октябрьское поле,313899611
7,14,1,34.0,8200000,Савёлки,Зеленоград,к364,Зеленоград — Крюково,315025696
8,12,1,35.0,11000000,Новогиреево,Зеленый проспект,40К1,Новогиреево,316371714
14,17,1,37.8,9900000,Некрасовка,Покровская ,23,Некрасовка,315762860
8,10,2,49.0,46999000,Тверской,Большой Гнездниковский переулок,10,Пушкинская,315335442
9,9,2,53.1,49900000,Тверской,Тверская ,8К2,Пушкинская,315335437
11,21,2,73.3,32500000,Щукино,Щукинская ,3,Стрешнево,313407706
4,23,2,70.0,40000000,Хорошевский, Зорге,9Ак1,Зорге,316411230
4,12,2,38.9,11600000,Кузьминки,Волжский бульвар,45,Волжская,316626019
11,13,2,60.0,65000000,Пресненский,Большая Садовая ,5к1,Маяковская,312764209
