floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
1,4,1,32.9,9500000,Кунцево,Партизанская ,9К2,Рабочий посёлок,313874190
15,16,1,31.8,8500000,Некрасовка, Маршала Еременко,5к1,Некрасовка,315957058
1,9,1,36.2,9800000,Отрадное,Юрловский проезд,19,Отрадное,314845173
7,8,1,41.8,42500000,Беговой,Ленинградский проспект,вл8,Белорусская,313914962
11,20,1,40.0,11500000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,316697475
4,8,1,24.7,11800000,Даниловский,Самаринская ,1,Тульская,313407850
12,31,1,37.0,14999000,Нижегородский,Газгольдерная ,10,Нижегородская,315412879
5,12,1,41.3,9700000,Капотня,1-й кв-л,1,Люблино,313860847
2,22,1,37.0,14200000,Лосиноостровский, Коминтерна,15,Бабушкинская,316005173
10,17,1,38.0,13300000,Нагорный,Черноморский бульвар,4к1,Варшавская,316471534
3,16,1,34.6,10000000,Северное Медведково, Грекова,3К3,Медведково,316689581
1,9,1,32.3,9800000,Южное Тушино,Туристская ,2К1,Сходненская,314171750
17,18,1,41.1,17000000,Щукино,Новощукинская ,8,Щукинская,316657354
17,17,1,46.7,10750000,Крюково,проспект Георгиевский,33Ак1,Зеленоград — Крюково,316307080
5,8,2,82.4,82317600,Таганский,Славянская площадь,2/5с1,Китай-город,306823110
4,5,2,63.8,25314894,Гольяново,Амурская ,1Ак3,Черкизовская,315729890
4,20,2,60.0,15100000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,315905779
5,8,2,79.9,31687000,Савеловский, Верхняя Масловка,20,Петровский Парк,313392637
24,36,2,71.8,68500000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,316117457
4,5,2,43.0,13300000,Щукино,Новощукинская ,9,Щукинская,312155484
3,12,2,66.0,82000000,Раменки,Мосфильмовская ,1к3,Ломоносовский проспект,316570308
3,21,2,71.0,82000000,Пресненский, Костикова,4к1,Улица 1905 года,314484539
18,19,2,59.2,20300000,Чертаново Южное,Варшавское шоссе,170Ек7,Лесопарковая,316219987
4,5,2,43.1,11200000,Измайлово,Измайловский проезд,6К2,Измайловская,316621046
